Order_id,Product,Quantity,Price,Ordar_date,Purchase_address,Total
305250,USB-C Charging Cable,1,11.95,12/02/19 17:36,"909 12th St, Portland, ME 04101",11.95
305251,Lightning Charging Cable,1,14.95,12/04/19 21:42,"712 Maple St, Los Angeles, CA 90001",14.95
305252,Apple Airpods Headphones,1,150.0,12/20/19 17:00,"474 10th St, Atlanta, GA 30301",150.0
305253,AAA Batteries (4-pack),1,2.99,12/29/19 23:47,"317 Pine St, Boston, MA 02215",2.99
305254,Wired Headphones,1,11.99,12/06/19 21:01,"724 Elm St, Atlanta, GA 30301",11.99
305255,USB-C Charging Cable,1,11.95,12/05/19 14:42,"474 Sunset St, Boston, MA 02215",11.95
305256,AAA Batteries (4-pack),3,2.99,12/31/19 00:34,"311 Maple St, San Francisco, CA 94016",8.97
305257,Apple Airpods Headphones,1,150.0,12/01/19 20:38,"932 Cherry St, Austin, TX 73301",150.0
305258,AA Batteries (4-pack),1,3.84,12/14/19 07:15,"88 Pine St, New York City, NY 10001",3.84
305258,AAA Batteries (4-pack),2,2.99,12/14/19 07:15,"88 Pine St, New York City, NY 10001",5.98
305259,iPhone,1,700.0,12/22/19 18:58,"467 Center St, Boston, MA 02215",700.0
305259,Wired Headphones,1,11.99,12/22/19 18:58,"467 Center St, Boston, MA 02215",11.99
305260,USB-C Charging Cable,1,11.95,12/01/19 10:49,"227 14th St, Portland, OR 97035",11.95
305261,AA Batteries (4-pack),1,3.84,12/17/19 16:04,"44 South St, Dallas, TX 75001",3.84
305262,AA Batteries (4-pack),1,3.84,12/15/19 07:24,"998 Meadow St, Portland, OR 97035",3.84
305263,AAA Batteries (4-pack),1,2.99,12/13/19 20:02,"475 Meadow St, San Francisco, CA 94016",2.99
305264,Apple Airpods Headphones,1,150.0,12/30/19 18:58,"785 Elm St, San Francisco, CA 94016",150.0
305265,34in Ultrawide Monitor,1,379.99,12/15/19 13:10,"178 Elm St, Atlanta, GA 30301",379.99
305266,Lightning Charging Cable,1,14.95,12/08/19 20:42,"540 5th St, Dallas, TX 75001",14.95
305267,USB-C Charging Cable,1,11.95,12/01/19 16:35,"362 Willow St, San Francisco, CA 94016",11.95
305268,iPhone,1,700.0,12/22/19 22:20,"516 Lincoln St, Los Angeles, CA 90001",700.0
305269,27in FHD Monitor,1,149.99,12/09/19 09:21,"77 Jefferson St, Seattle, WA 98101",149.99
305270,AA Batteries (4-pack),1,3.84,12/16/19 16:06,"543 5th St, San Francisco, CA 94016",3.84
305271,AAA Batteries (4-pack),1,2.99,12/22/19 22:30,"386 13th St, San Francisco, CA 94016",2.99
305272,Lightning Charging Cable,1,14.95,12/14/19 20:54,"847 Lakeview St, San Francisco, CA 94016",14.95
305273,Macbook Pro Laptop,1,1700.0,12/28/19 14:09,"236 10th St, San Francisco, CA 94016",1700.0
305274,Wired Headphones,1,11.99,12/02/19 19:28,"322 Center St, San Francisco, CA 94016",11.99
305275,iPhone,1,700.0,12/11/19 18:50,"940 Cedar St, Atlanta, GA 30301",700.0
305276,Lightning Charging Cable,1,14.95,12/15/19 19:37,"883 Forest St, Dallas, TX 75001",14.95
305277,AA Batteries (4-pack),1,3.84,12/28/19 20:30,"518 10th St, Los Angeles, CA 90001",3.84
305278,USB-C Charging Cable,1,11.95,12/13/19 11:29,"983 Maple St, Los Angeles, CA 90001",11.95
305279,USB-C Charging Cable,1,11.95,12/04/19 17:19,"427 Adams St, San Francisco, CA 94016",11.95
305280,AA Batteries (4-pack),1,3.84,12/29/19 16:30,"177 Adams St, Portland, OR 97035",3.84
305281,Apple Airpods Headphones,1,150.0,12/09/19 08:19,"721 Hickory St, San Francisco, CA 94016",150.0
305282,USB-C Charging Cable,1,11.95,12/22/19 14:01,"788 Wilson St, Portland, ME 04101",11.95
305283,Apple Airpods Headphones,1,150.0,12/21/19 07:38,"707 Cedar St, Los Angeles, CA 90001",150.0
305284,AAA Batteries (4-pack),1,2.99,12/03/19 15:43,"782 Sunset St, New York City, NY 10001",2.99
305285,USB-C Charging Cable,1,11.95,12/12/19 12:26,"691 Jefferson St, Portland, OR 97035",11.95
305286,AAA Batteries (4-pack),1,2.99,12/17/19 19:01,"818 13th St, Seattle, WA 98101",2.99
305287,Lightning Charging Cable,1,14.95,12/08/19 17:56,"393 Washington St, Austin, TX 73301",14.95
305288,AAA Batteries (4-pack),4,2.99,12/22/19 19:28,"844 South St, Dallas, TX 75001",11.96
305289,Apple Airpods Headphones,1,150.0,12/09/19 07:35,"529 South St, San Francisco, CA 94016",150.0
305290,Bose SoundSport Headphones,1,99.99,12/18/19 17:58,"803 North St, San Francisco, CA 94016",99.99
305291,20in Monitor,1,109.99,12/29/19 14:06,"995 Adams St, Portland, ME 04101",109.99
305292,Bose SoundSport Headphones,1,99.99,12/05/19 20:00,"421 Lincoln St, New York City, NY 10001",99.99
305293,Wired Headphones,1,11.99,12/03/19 16:09,"147 Cedar St, Dallas, TX 75001",11.99
305294,Wired Headphones,1,11.99,12/26/19 17:34,"891 Willow St, San Francisco, CA 94016",11.99
305295,Google Phone,1,600.0,12/23/19 20:59,"618 Elm St, San Francisco, CA 94016",600.0
305296,AAA Batteries (4-pack),1,2.99,12/30/19 16:35,"858 Willow St, Dallas, TX 75001",2.99
305297,ThinkPad Laptop,1,999.99,12/20/19 08:00,"732 10th St, Austin, TX 73301",999.99
305298,USB-C Charging Cable,1,11.95,12/27/19 17:47,"701 Lincoln St, San Francisco, CA 94016",11.95
305299,AAA Batteries (4-pack),1,2.99,12/06/19 18:43,"723 Madison St, Boston, MA 02215",2.99
305300,AAA Batteries (4-pack),1,2.99,12/08/19 11:50,"420 5th St, San Francisco, CA 94016",2.99
305301,20in Monitor,1,109.99,12/10/19 06:34,"582 South St, Portland, OR 97035",109.99
305302,iPhone,1,700.0,12/26/19 08:58,"49 Cherry St, Boston, MA 02215",700.0
