Order_id,Product,Quantity,Price,Ordar_date,Purchase_address,Total
300445,LG Dryer,1,600.0,12/05/19 08:10,"757 Church St, Seattle, WA 98101",600.0
300446,AA Batteries (4-pack),1,3.84,12/09/19 12:42,"825 Main St, San Francisco, CA 94016",3.84
300447,Flatscreen TV,1,300.0,12/04/19 09:59,"617 11th St, Austin, TX 73301",300.0
300448,Apple Airpods Headphones,1,150.0,12/24/19 20:56,"199 5th St, San Francisco, CA 94016",150.0
300449,USB-C Charging Cable,1,11.95,12/06/19 19:16,"95 5th St, New York City, NY 10001",11.95
300450,AAA Batteries (4-pack),1,2.99,12/14/19 20:37,"867 Cherry St, Portland, OR 97035",2.99
300451,Macbook Pro Laptop,1,1700.0,12/13/19 13:24,"811 2nd St, Boston, MA 02215",1700.0
300452,AA Batteries (4-pack),1,3.84,12/02/19 19:07,"515 Highland St, Portland, OR 97035",3.84
300453,Bose SoundSport Headphones,1,99.99,12/29/19 15:47,"868 9th St, New York City, NY 10001",99.99
300454,AA Batteries (4-pack),1,3.84,12/12/19 15:53,"657 Maple St, Portland, ME 04101",3.84
300455,Flatscreen TV,1,300.0,12/18/19 13:57,"800 Lincoln St, Atlanta, GA 30301",300.0
300456,AAA Batteries (4-pack),1,2.99,12/27/19 21:23,"929 North St, San Francisco, CA 94016",2.99
300456,USB-C Charging Cable,2,11.95,12/27/19 21:23,"929 North St, San Francisco, CA 94016",23.9
300457,AAA Batteries (4-pack),1,2.99,12/21/19 12:00,"240 Ridge St, San Francisco, CA 94016",2.99
300458,Macbook Pro Laptop,1,1700.0,12/15/19 17:28,"309 10th St, Atlanta, GA 30301",1700.0
300459,USB-C Charging Cable,1,11.95,12/28/19 17:23,"635 8th St, Atlanta, GA 30301",11.95
300460,Lightning Charging Cable,2,14.95,12/19/19 17:56,"838 Lakeview St, Dallas, TX 75001",29.9
300461,USB-C Charging Cable,1,11.95,12/10/19 12:13,"518 8th St, New York City, NY 10001",11.95
300462,Bose SoundSport Headphones,1,99.99,12/03/19 11:42,"267 North St, Portland, ME 04101",99.99
300463,Lightning Charging Cable,1,14.95,12/14/19 20:05,"152 Elm St, Portland, OR 97035",14.95
300464,Google Phone,1,600.0,12/07/19 16:17,"532 Pine St, Los Angeles, CA 90001",600.0
300465,Apple Airpods Headphones,1,150.0,12/11/19 21:27,"60 4th St, Portland, OR 97035",150.0
300466,Wired Headphones,1,11.99,12/29/19 11:51,"723 13th St, Atlanta, GA 30301",11.99
300467,AAA Batteries (4-pack),1,2.99,12/01/19 09:47,"593 Cherry St, Seattle, WA 98101",2.99
300468,27in FHD Monitor,1,149.99,12/26/19 00:27,"27 South St, Los Angeles, CA 90001",149.99
300469,AAA Batteries (4-pack),1,2.99,12/18/19 14:02,"206 Maple St, Boston, MA 02215",2.99
300470,AAA Batteries (4-pack),1,2.99,12/11/19 23:00,"585 South St, Austin, TX 73301",2.99
300471,AA Batteries (4-pack),1,3.84,12/01/19 11:33,"273 Lincoln St, Austin, TX 73301",3.84
300472,27in 4K Gaming Monitor,1,389.99,12/22/19 14:27,"49 Hill St, Boston, MA 02215",389.99
300473,USB-C Charging Cable,1,11.95,12/29/19 17:05,"374 13th St, New York City, NY 10001",11.95
300474,USB-C Charging Cable,1,11.95,12/06/19 14:53,"866 River St, Los Angeles, CA 90001",11.95
300475,AAA Batteries (4-pack),1,2.99,12/04/19 18:46,"422 Elm St, New York City, NY 10001",2.99
300476,AA Batteries (4-pack),2,3.84,12/10/19 18:53,"311 Center St, Los Angeles, CA 90001",7.68
300477,34in Ultrawide Monitor,1,379.99,12/22/19 18:06,"213 Cedar St, Seattle, WA 98101",379.99
300478,Wired Headphones,1,11.99,12/31/19 05:08,"710 Maple St, New York City, NY 10001",11.99
300479,AAA Batteries (4-pack),1,2.99,12/28/19 11:25,"977 10th St, Boston, MA 02215",2.99
300480,Vareebadd Phone,1,400.0,12/04/19 18:07,"342 Dogwood St, New York City, NY 10001",400.0
300481,34in Ultrawide Monitor,1,379.99,12/30/19 17:15,"906 7th St, Atlanta, GA 30301",379.99
300482,Flatscreen TV,1,300.0,12/04/19 19:16,"256 Dogwood St, Los Angeles, CA 90001",300.0
300483,AA Batteries (4-pack),3,3.84,12/26/19 12:55,"200 7th St, Atlanta, GA 30301",11.52
300484,Wired Headphones,2,11.99,12/29/19 19:10,"803 Cedar St, Atlanta, GA 30301",23.98
300485,Wired Headphones,1,11.99,12/08/19 21:20,"824 Madison St, New York City, NY 10001",11.99
300486,iPhone,1,700.0,12/12/19 17:33,"765 Johnson St, Dallas, TX 75001",700.0
300487,Lightning Charging Cable,1,14.95,12/19/19 13:25,"424 Jefferson St, San Francisco, CA 94016",14.95
300488,Bose SoundSport Headphones,1,99.99,12/27/19 07:33,"34 12th St, Los Angeles, CA 90001",99.99
300489,Lightning Charging Cable,1,14.95,12/20/19 13:39,"116 River St, Portland, OR 97035",14.95
300490,Apple Airpods Headphones,1,150.0,12/03/19 21:13,"853 Lincoln St, New York City, NY 10001",150.0
300491,AA Batteries (4-pack),4,3.84,12/31/19 12:28,"653 Park St, New York City, NY 10001",15.36
300492,Bose SoundSport Headphones,1,99.99,12/08/19 13:54,"701 4th St, Dallas, TX 75001",99.99
300493,AAA Batteries (4-pack),1,2.99,12/05/19 12:04,"713 Meadow St, Austin, TX 73301",2.99
300494,Wired Headphones,1,11.99,12/02/19 18:52,"49 Lincoln St, Seattle, WA 98101",11.99
300495,iPhone,1,700.0,12/08/19 12:44,"516 11th St, New York City, NY 10001",700.0
300495,AA Batteries (4-pack),1,3.84,12/08/19 12:44,"516 11th St, New York City, NY 10001",3.84
300496,Apple Airpods Headphones,1,150.0,12/03/19 11:26,"53 Maple St, New York City, NY 10001",150.0
300497,Wired Headphones,1,11.99,12/16/19 01:05,"91 Lakeview St, San Francisco, CA 94016",11.99
300498,20in Monitor,1,109.99,12/18/19 12:21,"998 Elm St, Los Angeles, CA 90001",109.99
300499,USB-C Charging Cable,1,11.95,12/04/19 20:53,"104 West St, New York City, NY 10001",11.95
300500,Lightning Charging Cable,1,14.95,12/21/19 14:36,"210 Center St, Portland, OR 97035",14.95
300501,Apple Airpods Headphones,1,150.0,12/19/19 07:12,"157 Forest St, Portland, OR 97035",150.0
300502,iPhone,1,700.0,12/09/19 13:47,"654 Pine St, Los Angeles, CA 90001",700.0
300503,Apple Airpods Headphones,1,150.0,12/13/19 13:54,"29 Forest St, Los Angeles, CA 90001",150.0
300504,AA Batteries (4-pack),1,3.84,12/12/19 19:11,"967 Forest St, San Francisco, CA 94016",3.84
300505,iPhone,1,700.0,12/24/19 21:11,"199 6th St, Dallas, TX 75001",700.0
300506,AA Batteries (4-pack),1,3.84,12/17/19 12:46,"950 Dogwood St, Boston, MA 02215",3.84
300507,AA Batteries (4-pack),1,3.84,12/19/19 04:22,"238 Meadow St, Portland, ME 04101",3.84
300508,AAA Batteries (4-pack),1,2.99,12/03/19 08:33,"563 Cherry St, Atlanta, GA 30301",2.99
300509,Wired Headphones,1,11.99,12/17/19 09:06,"70 Adams St, Los Angeles, CA 90001",11.99
300510,AA Batteries (4-pack),1,3.84,12/08/19 11:25,"551 West St, Austin, TX 73301",3.84
300511,Bose SoundSport Headphones,1,99.99,12/22/19 07:43,"756 Jackson St, Boston, MA 02215",99.99
300512,USB-C Charging Cable,1,11.95,12/12/19 16:30,"731 9th St, San Francisco, CA 94016",11.95
300513,iPhone,1,700.0,12/27/19 08:27,"131 Ridge St, San Francisco, CA 94016",700.0
300514,Wired Headphones,1,11.99,12/29/19 17:33,"826 10th St, New York City, NY 10001",11.99
300515,ThinkPad Laptop,1,999.99,12/13/19 14:40,"218 1st St, Atlanta, GA 30301",999.99
300516,Wired Headphones,1,11.99,12/15/19 20:41,"375 12th St, Austin, TX 73301",11.99
300517,Wired Headphones,1,11.99,12/27/19 20:40,"318 8th St, San Francisco, CA 94016",11.99
300518,AAA Batteries (4-pack),1,2.99,12/19/19 11:23,"768 South St, Los Angeles, CA 90001",2.99
300519,Bose SoundSport Headphones,1,99.99,01/01/20 05:13,"657 Spruce St, New York City, NY 10001",99.99
300519,Lightning Charging Cable,1,14.95,01/01/20 05:13,"657 Spruce St, New York City, NY 10001",14.95
300520,34in Ultrawide Monitor,1,379.99,12/23/19 16:40,"214 Washington St, San Francisco, CA 94016",379.99
300521,AAA Batteries (4-pack),2,2.99,12/03/19 13:36,"505 Lincoln St, Seattle, WA 98101",5.98
300522,27in 4K Gaming Monitor,1,389.99,12/28/19 06:12,"708 Walnut St, New York City, NY 10001",389.99
300523,USB-C Charging Cable,1,11.95,12/09/19 21:14,"756 Cedar St, Seattle, WA 98101",11.95
300524,Macbook Pro Laptop,1,1700.0,12/10/19 10:31,"738 Adams St, Austin, TX 73301",1700.0
300525,AA Batteries (4-pack),1,3.84,12/31/19 01:12,"20 Cherry St, Seattle, WA 98101",3.84
300526,Apple Airpods Headphones,1,150.0,12/26/19 13:20,"668 Hickory St, Austin, TX 73301",150.0
300527,27in FHD Monitor,1,149.99,12/12/19 17:36,"420 Johnson St, Los Angeles, CA 90001",149.99
300528,Google Phone,1,600.0,12/06/19 15:19,"944 Main St, Atlanta, GA 30301",600.0
300528,USB-C Charging Cable,1,11.95,12/06/19 15:19,"944 Main St, Atlanta, GA 30301",11.95
300529,Google Phone,1,600.0,12/23/19 12:47,"486 Walnut St, Los Angeles, CA 90001",600.0
300530,Flatscreen TV,1,300.0,12/12/19 18:41,"589 Elm St, Boston, MA 02215",300.0
300531,Wired Headphones,1,11.99,12/26/19 09:39,"266 Sunset St, Austin, TX 73301",11.99
300532,AAA Batteries (4-pack),2,2.99,12/24/19 10:22,"395 7th St, Portland, ME 04101",5.98
300533,34in Ultrawide Monitor,1,379.99,12/23/19 13:34,"239 Maple St, San Francisco, CA 94016",379.99
300534,Bose SoundSport Headphones,1,99.99,12/04/19 19:44,"302 12th St, San Francisco, CA 94016",99.99
300535,Flatscreen TV,1,300.0,12/17/19 11:43,"73 Jefferson St, Los Angeles, CA 90001",300.0
300536,Bose SoundSport Headphones,1,99.99,12/27/19 07:19,"497 Cherry St, Boston, MA 02215",99.99
300537,ThinkPad Laptop,1,999.99,12/05/19 02:13,"551 Pine St, San Francisco, CA 94016",999.99
300538,Bose SoundSport Headphones,1,99.99,12/11/19 11:37,"354 Sunset St, Atlanta, GA 30301",99.99
300539,34in Ultrawide Monitor,1,379.99,12/24/19 08:44,"186 Sunset St, Dallas, TX 75001",379.99
300540,AAA Batteries (4-pack),1,2.99,12/11/19 00:37,"342 Hickory St, Portland, ME 04101",2.99
300541,USB-C Charging Cable,1,11.95,12/14/19 20:01,"290 Lake St, Seattle, WA 98101",11.95
300542,USB-C Charging Cable,1,11.95,12/30/19 00:24,"961 Cherry St, Portland, OR 97035",11.95
300543,Wired Headphones,1,11.99,12/28/19 17:57,"715 11th St, New York City, NY 10001",11.99
300544,27in 4K Gaming Monitor,1,389.99,12/02/19 09:43,"555 West St, Dallas, TX 75001",389.99
300545,AAA Batteries (4-pack),1,2.99,12/04/19 13:20,"836 Ridge St, Seattle, WA 98101",2.99
300546,27in 4K Gaming Monitor,1,389.99,12/21/19 19:35,"443 River St, Los Angeles, CA 90001",389.99
300547,34in Ultrawide Monitor,1,379.99,12/25/19 10:19,"53 7th St, Los Angeles, CA 90001",379.99
300548,Wired Headphones,1,11.99,12/09/19 20:33,"13 Maple St, San Francisco, CA 94016",11.99
300549,Macbook Pro Laptop,1,1700.0,12/21/19 23:02,"820 Washington St, New York City, NY 10001",1700.0
300550,USB-C Charging Cable,1,11.95,12/21/19 09:00,"415 Pine St, Boston, MA 02215",11.95
300551,Lightning Charging Cable,1,14.95,12/04/19 20:02,"405 10th St, San Francisco, CA 94016",14.95
300552,AAA Batteries (4-pack),1,2.99,12/31/19 17:14,"890 5th St, Portland, OR 97035",2.99
300553,20in Monitor,1,109.99,12/08/19 13:06,"257 Walnut St, San Francisco, CA 94016",109.99
300554,Lightning Charging Cable,1,14.95,12/18/19 20:54,"180 13th St, Dallas, TX 75001",14.95
300555,Flatscreen TV,1,300.0,12/31/19 19:49,"466 12th St, New York City, NY 10001",300.0
300556,20in Monitor,1,109.99,12/26/19 23:05,"766 Cedar St, Austin, TX 73301",109.99
300557,27in 4K Gaming Monitor,1,389.99,12/30/19 19:55,"506 Elm St, Atlanta, GA 30301",389.99
300558,Lightning Charging Cable,2,14.95,12/23/19 12:37,"112 Main St, Los Angeles, CA 90001",29.9
300559,USB-C Charging Cable,1,11.95,12/01/19 06:52,"566 Jefferson St, Los Angeles, CA 90001",11.95
300560,USB-C Charging Cable,1,11.95,12/02/19 18:30,"137 13th St, Boston, MA 02215",11.95
300561,AAA Batteries (4-pack),1,2.99,12/04/19 19:27,"413 Center St, New York City, NY 10001",2.99
300562,Lightning Charging Cable,1,14.95,12/30/19 15:25,"695 12th St, Austin, TX 73301",14.95
300563,Apple Airpods Headphones,1,150.0,12/19/19 21:48,"693 Johnson St, Los Angeles, CA 90001",150.0
300564,AAA Batteries (4-pack),1,2.99,12/21/19 07:06,"356 Church St, Boston, MA 02215",2.99
300565,20in Monitor,1,109.99,12/09/19 15:49,"388 Center St, San Francisco, CA 94016",109.99
300566,USB-C Charging Cable,1,11.95,12/08/19 19:03,"708 8th St, San Francisco, CA 94016",11.95
300567,AA Batteries (4-pack),1,3.84,12/02/19 18:17,"225 Jackson St, Dallas, TX 75001",3.84
